cmte_id,cand_id,cand_nm,recipient_nm,disb_amt,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",47.71,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9539","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",9.76,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9589","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",34.34,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9604","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",15.15,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9605","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ARNO PETITION CONSULANTS",15000,23-OCT-15,"PENRYN","CA","95663","BALLOT ACCESS CONSULTING","","","SB23","1057556","SB23.90092","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ARNO PETITION CONSULANTS",34727,15-DEC-15,"PENRYN","CA","95663","BALLOT ACCESS CONSULTING","","","SB23","1057556","SB23.90093","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",15.15,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9606","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",27,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9607","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",32.32,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9615","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",30,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9616","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",62.22,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9627","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",16.24,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9628","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",16.24,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9629","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",40.2,03-JUL-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9633","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ST REGIS MONARCH BEACH",60.16,03-SEP-15,"DANA POINT","CA","92629","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9253","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ST REGIS MONARCH BEACH",1093.3,03-SEP-15,"DANA POINT","CA","92629","TRAVEL","X","","SB23","1053893","SBCCUV1.9905","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","STAMPS.COM",15.99,03-SEP-15,"EL SEGUNDO","CA","90245","POSTAGE","X","","SB23","1053893","SBCCUV1.9386","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",45.72,03-JUL-15,"SAN FRANCISCO","CA","94111","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9433","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",10.95,03-JUL-15,"SAN FRANCISCO","CA","94111","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9434","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BALLI, CHRISTOPHER",9300,31-AUG-15,"LOS ANGELES","CA","90034","PRINTING/LICENSE FEE","","","SB23","1053893","SB23.1429","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BALLI, CHRISTOPHER",10072,26-AUG-15,"LOS ANGELES","CA","90034","PRINTING/LICENSE FEE","","","SB23","1053893","SB23.1430","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SAYET, EVAN",5000,04-OCT-15,"TARZANA","CA","91356","POLITICAL STRATEGY CONSULTING","","","SB23","1057556","SB23.90751","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DROPBOX",10.65,07-OCT-15,"SAN FRANCISCO","CA","94107","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9567","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",111.22,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10000","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",217.29,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10001","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",28.93,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10002","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",94.12,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10003","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",62.6,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10004","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",33.11,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10005","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",30.39,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10006","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",75.63,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10007","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",52.15,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10008","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",25.25,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10009","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",15.67,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10010","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",15,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10011","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",202.96,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10012","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",68.91,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10013","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",118.21,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10014","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",206.83,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10015","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",17.13,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10016","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",25.29,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10089","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",50.07,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10090","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",61.81,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10091","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",11.84,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10092","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",5.49,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10093","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",25.08,06-NOV-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.10094","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",27.6,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9964","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",13.87,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9966","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",11.88,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9984","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",21.7,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9985","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",83.37,03-SEP-15,"SAN FRANCISCO","CA","94111","TELEPHONE SERVICE","X","","SB23","1053893","SBCCUV1.9460","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",56.75,03-SEP-15,"SAN FRANCISCO","CA","94111","TELEPHONE SERVICE","X","","SB23","1053893","SBCCUV1.9461","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DISPLAY REPUBLIC",6809.5,17-NOV-15,"BURBANK","CA","91504","COLLATERAL MATERIALS- BANNERS","","","SB23","1057556","SB23.90129","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","DISPLAY REPUBLIC",1816.5,04-OCT-15,"BURBANK","CA","91504","COLLATERAL MATERIALS- PRINTING","","","SB23","1057556","SB23.90136","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","EVENTBRITE INC",4000,15-DEC-15,"SAN FRANCISCO","CA","94103","EQUIPMENT RENTAL","","","SB23","1057556","SB23.90305","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","EVENTBRITE INC",2500,04-OCT-15,"SAN FRANCISCO","CA","94103","EVENT REGISTRATION FEE","","","SB23","1057556","SB23.90313","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","OVERWATCH SECURITY SERVICES INC",16200,17-DEC-15,"SANTA CLARITA","CA","91350","PERSONNEL SERVICE/EQUIPMENT","","","SB23","1057556","SB23.90739","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",14.41,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9778","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",65.71,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9779","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",90.77,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9780","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",26.34,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9781","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",18.82,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9782","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",45.79,07-OCT-15,"SAN FRANCISCO","CA","94111","TELEPHONE SERVICE","X","","SB23","1057556","SBCCUV45.9590","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",10.96,07-OCT-15,"SAN FRANCISCO","CA","94111","TELEPHONE SERVICE","X","","SB23","1057556","SBCCUV45.9591","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER CONFERENCE",54.84,07-OCT-15,"SAN FRANCISCO","CA","94111","TELEPHONE SERVICE","X","","SB23","1057556","SBCCUV45.9593","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","PAYPAL ELECT ATLAS",238,07-OCT-15,"SAN JOSE","CA","95131","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9558","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","PAYPAL ELECT ATLAS",67,07-OCT-15,"SAN JOSE","CA","95131","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9559","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","REAGAN COUNTRY CAFE",836.57,07-OCT-15,"SIMI VALLEY","CA","93065","FOOD/BEVERAGES","X","","SB23","1057556","SBCCUV45.9180","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",311,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9777","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SAM ADAMS RESTAURANT",26.86,07-OCT-15,"LOS ANGELES","CA","90045","FOOD/BEVERAGES","X","","SB23","1057556","SBCCUV45.9237","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SAM ADAMS RESTAURANT",4.26,07-OCT-15,"LOS ANGELES","CA","90045","FOOD/BEVERAGES","X","","SB23","1057556","SBCCUV45.9238","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","STAMPS.COM",15.99,07-OCT-15,"EL SEGUNDO","CA","90245","POSTAGE","X","","SB23","1057556","SBCCUV45.9507","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",31,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9641","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",29,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9642","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",29,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9643","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",28,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9644","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",15,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9645","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",23,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9646","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",21,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9647","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",108,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9656","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",57.13,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9659","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",67.55,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9660","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",50.9,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9661","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",72.27,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9664","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",31.23,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9667","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",21.87,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9668","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",35.21,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9669","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",7.8,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9768","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",79.73,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9769","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",13.72,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9770","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",29.81,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9771","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",49.19,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9772","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",44.13,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9773","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",41.44,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9774","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",20.66,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9775","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",358,07-OCT-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1057556","SBCCUV45.9776","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","FOUR SEASONS- BEVERLY HILLS",5000,03-SEP-15,"LOS ANGELES","CA","90048","FACILITY RENTAL/CATERING","X","","SB23","1053893","SBCCUV1.9115","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","APPLESTORE",2346.86,03-JUL-15,"CUPERTINO","CA","95014","EQUIPMENT PURCHASE","X","","SB23","1053893","SBCCUV1.9082","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","RINGCENTRAL INC",68.6,03-MAR-16,"SAN MATEO","CA","94404","TELEPHONE SERVICE","X","","SB23","1066253","SB23CCUV.10150","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","BEST WESTERN",460.65,06-NOV-15,"SIMI VALLEY","CA","93065","TRAVEL","X","","SB23","1057556","SBUC23.483","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ADOBE CREATIVE CLOUD",211.04,09-DEC-15,"SAN JOSE","CA","95113","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9579","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ADOBE CREATIVE CLOUD",54.11,09-DEC-15,"SAN JOSE","CA","95113","SUBSCRIPTIONS","X","","SB23","1057556","SBCCUV45.9586","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","TIME WARNER CABLE",509.25,04-AUG-15,"CITY OF INDUSTRY","CA","91716","UTILITIES","","","SB23","1053893","SB23.1573","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","NATIONAL NOTARY ASSOCIATION",88.94,03-SEP-15,"CHATSWORTH","CA","91311","OFFICE SUPPLIES","X","","SB23","1053893","SBCCUV1.9367","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","PAYPAL ELECT ATLAS",62,03-SEP-15,"SAN JOSE","CA","95131","SUBSCRIPTIONS","X","","SB23","1053893","SBCCUV1.9457","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","RESIDENCE INN LOS ANGELES",10.68,03-SEP-15,"LOS ANGELES","CA","90045","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9254","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","MARSHALL, GAIL",7000,31-AUG-15,"ENCINO","CA","91316","CONTRACT LABOR- ADVANCE SERVICES","","","SB23","1053893","SB23.1020","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ZIGNAL LABS INC",500,18-AUG-15,"SAN FRANCISCO","CA","94111","SUBSCRIPTIONS","","","SB23","1053893","SB23.1462","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ZIGNAL LABS INC",4500,25-AUG-15,"SAN FRANCISCO","CA","94111","SUBSCRIPTIONS","","","SB23","1053893","SB23.1463","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","ZIGNAL LABS INC",5000,11-JUL-15,"SAN FRANCISCO","CA","94111","SUBSCRIPTIONS","","","SB23","1053893","SB23.1464","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","HYATT REGENCY",357.52,17-AUG-15,"LOS ANGELES","CA","90067","TRAVEL","X","","SB23","1053893","SB23UV.4625","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","VIRGIN AMERICA",653.1,17-AUG-15,"BURLINGAME","CA","94010","TRAVEL","X","","SB23","1053893","SB23UV.4623","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SLS HOTEL",1177.89,24-JUL-15,"LOS ANGELES","CA","90048","TRAVEL","X","","SB23","1053893","SB23UV.4633","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","SOFITEL",322.81,24-JUL-15,"LOS ANGELES","CA","90048","TRAVEL","X","","SB23","1053893","SB23UV.4627","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","VIRGIN AMERICA",168.1,24-JUL-15,"BURLINGAME","CA","94010","TRAVEL","X","","SB23","1053893","SB23UV.4626","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","JACK IN THE BOX",11.31,03-AUG-15,"SAN DIEGO","CA","92123","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9233","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","LIMOS.COM",145.63,03-SEP-15,"SAN FRANCISCO","CA","94111","TRAVEL","X","","SB23","1053893","SBCCUV1.10046","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CHEVRON",36.3,03-SEP-15,"SAN RAMON","CA","94583","TRAVEL","X","","SB23","1053893","SBCCUV1.9945","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","CHEVRON",13.54,03-SEP-15,"SAN RAMON","CA","94583","TRAVEL","X","","SB23","1053893","SBCCUV1.9970","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","COURTYARD BY MARRIOTT  LAX",3.54,03-SEP-15,"LOS ANGELES","CA","90045","FOOD/BEVERAGES","X","","SB23","1053893","SBCCUV1.9258","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","COURTYARD BY MARRIOTT  LAX",229.87,03-SEP-15,"LOS ANGELES","CA","90045","TRAVEL","X","","SB23","1053893","SBCCUV1.9903","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","APPLESTORE",2936.83,03-AUG-15,"CUPERTINO","CA","95014","EQUIPMENT PURCHASE","X","","SB23","1053893","SBCCUV1.9095","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",75,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10023","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",17.17,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10025","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",19.44,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10026","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",108,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10027","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",67,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10029","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",67,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10035","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",84,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10036","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",19.44,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10039","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",67,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.10042","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",62,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9820","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","UBER",8.64,03-SEP-15,"SAN FRANCISCO","CA","94105","TRAVEL","X","","SB23","1053893","SBCCUV1.9842","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","COURTYARD MARRIOTT",333.8,31-AUG-15,"LOS ANGELES","CA","90045","TRAVEL","X","","SB23","1053893","SB23UV.4484","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","INTUIT",413.37,22-OCT-15,"MOUNTAIN VIEW","CA","94043","PRINTING","","","SB23","1057556","SB23.90835","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","INTUIT",234.48,07-OCT-15,"MOUNTAIN VIEW","CA","94043","SUBSCRIPTIONS","","","SB23","1057556","SB23.90888","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","INTUIT",234.48,09-NOV-15,"MOUNTAIN VIEW","CA","94043","SUBSCRIPTIONS","","","SB23","1057556","SB23.90889","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","INTUIT",234.48,07-DEC-15,"MOUNTAIN VIEW","CA","94043","SUBSCRIPTIONS","","","SB23","1057556","SB23.90890","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","IOWA BELL TERRACE LLC",9000,21-DEC-15,"SAN CLEMENTE","CA","92674","RENT","","","SB23","1057556","SB23.90872","",
C00574624,"P60006111","Cruz, Rafael Edward 'Ted'","IOWA BELL TERRACE LLC",40346,17-NOV-15,"SAN CLEMENTE","CA","92674","RENT","","","SB23","1057556","SB23.90873","",
